,type,uuid,timestamp,message,runtime
0,s,a43391bc-8a45-11ea-ab09-0242ac140003,1.5881842300441628e+18,Temperatur/Schlafzimmer,0.880124416
1,s,a44358b8-8a45-11ea-9ff4-0242ac140004,1.5881842301475643e+18,Heizung/Schlafzimmer,0.983525888
2,s,a4acf8f4-8a45-11ea-ab09-0242ac140003,1.5881842308397893e+18,Temperatur/Küche,1.675750912
3,s,a4bcdb02-8a45-11ea-9ff4-0242ac140004,1.588184230943897e+18,Heizung/Küche,1.779858688
4,s,a4c4cf7e-8a45-11ea-ab09-0242ac140003,1.5881842309960082e+18,Temperatur/Flur,1.831969792
5,s,a4d4a0c0-8a45-11ea-9ff4-0242ac140004,1.5881842310996782e+18,Heizung/Flur,1.935639808
6,s,a53fbd1a-8a45-11ea-ab09-0242ac140003,1.5881842318015936e+18,Temperatur/Schlafzimmer,2.6375552
7,s,a5459258-8a45-11ea-ab09-0242ac140003,1.5881842318398198e+18,Temperatur/Küche,2.675781376
8,s,a54f40fa-8a45-11ea-9ff4-0242ac140004,1.5881842319032817e+18,Heizung/Schlafzimmer,2.739243264
9,s,a55502e2-8a45-11ea-9ff4-0242ac140004,1.5881842319410122e+18,Heizung/Küche,2.776973824
10,s,a5aa02ec-8a45-11ea-ab09-0242ac140003,1.5881842324981084e+18,Temperatur/Flur,3.334070016
11,s,a5b9ebf8-8a45-11ea-9ff4-0242ac140004,1.5881842326023775e+18,Heizung/Flur,3.438339072
12,s,a5de7608-8a45-11ea-ab09-0242ac140003,1.5881842328418245e+18,Temperatur/Küche,3.677786112
13,s,a5ee349e-8a45-11ea-9ff4-0242ac140004,1.5881842329450412e+18,Heizung/Küche,3.781002752
14,s,a67774f2-8a45-11ea-ab09-0242ac140003,1.5881842338445074e+18,Temperatur/Küche,4.680468992
15,s,a68747d8-8a45-11ea-9ff4-0242ac140004,1.5881842339482317e+18,Heizung/Küche,4.78419328
16,s,a68f2688-8a45-11ea-ab09-0242ac140003,1.5881842339997914e+18,Temperatur/Flur,4.83575296
17,s,a69f06b6-8a45-11ea-9ff4-0242ac140004,1.5881842341038287e+18,Heizung/Flur,4.939790336
18,s,a7106c7a-8a45-11ea-ab09-0242ac140003,1.5881842348469983e+18,Temperatur/Küche,5.682959872
19,s,a7204546-8a45-11ea-9ff4-0242ac140004,1.588184234950859e+18,Heizung/Küche,5.786820608
20,s,a7745d7a-8a45-11ea-ab09-0242ac140003,1.5881842355019753e+18,Temperatur/Flur,6.337936896
21,s,a7844190-8a45-11ea-9ff4-0242ac140004,1.5881842356061256e+18,Heizung/Flur,6.442087168
22,s,a7a96c5e-8a45-11ea-ab09-0242ac140003,1.5881842358496993e+18,Temperatur/Küche,6.685660928
23,s,a7b94e8a-8a45-11ea-9ff4-0242ac140004,1.588184235953807e+18,Heizung/Küche,6.789768704
24,s,a82e1aa8-8a45-11ea-ab09-0242ac140003,1.5881842367191936e+18,Temperatur/Schlafzimmer,7.5551552
25,s,a83db67a-8a45-11ea-9ff4-0242ac140004,1.588184236821539e+18,Heizung/Schlafzimmer,7.657500672
26,s,a8422746-8a45-11ea-ab09-0242ac140003,1.588184236850616e+18,Temperatur/Küche,7.686577664
27,s,a8520c4c-8a45-11ea-9ff4-0242ac140004,1.5881842369547958e+18,Heizung/Küche,7.790757376
28,s,a8598526-8a45-11ea-ab09-0242ac140003,1.5881842370037637e+18,Temperatur/Flur,7.839725312
29,s,a86969d2-8a45-11ea-9ff4-0242ac140004,1.5881842371079357e+18,Heizung/Flur,7.943897344
