sent messages,sent bytes,received bytes,payload
586,280894,82441,200
589,400131,82658,400
580,510697,81605,600
590,636810,82798,800
584,747136,81958,1000
586,866828,82238,1200
583,978991,82021,1400
586,1101228,120914,1600
588,1222652,121326,1800
585,1333349,120708,2000
582,1442978,120090,2200
587,1572707,121120,2400
590,1698810,121738,2600
584,1798336,120705,2800
584,1915136,120502,3000
587,2042373,121120,3200
590,2170744,121738,3400
582,2261455,120160,3600
584,2382336,120502,3800
582,2490512,120090,4000
580,2598020,119678,4200
584,2737349,120642,4400
581,2839712,120024,4600
583,2961257,120296,4800
585,3088349,120708,5000
583,3194457,120296,5200
586,3333571,120984,5400
584,3433470,120705,5600
590,3586810,121738,5800
582,3654578,120090,6000
581,3764499,119884,6200
585,3907349,120708,6400
587,4038107,121120,6600
584,4134336,120502,6800
585,4258415,120708,7000
585,4375415,120708,7200
585,4492481,120708,7400
587,4625173,121120,7600
587,4742573,121120,7800
582,4818578,120090,8000
589,4994331,121532,8200
589,5112131,121532,8400
584,5185602,120502,8600
585,5311415,120708,8800
588,5456318,121326,9000
583,5526523,120682,9200
584,5652802,120502,9400
585,5779415,120708,9600
589,5936731,121532,9800
585,6013415,120708,10000
