sent messages,received messages,losses,packet loss
196,196,0.0,0.0
196,196,0.0,0.05
189,189,0.0,0.05
188,188,0.0,0.05
196,195,1.0,0.05
188,188,0.0,0.05
190,190,0.0,0.05
188,188,0.0,0.05
196,196,0.0,0.05
195,195,0.0,0.05
187,186,1.0,0.05
193,193,0.0,0.1
190,190,0.0,0.1
190,190,0.0,0.1
196,196,0.0,0.1
189,188,1.0,0.1
196,196,0.0,0.1
190,186,4.0,0.1
189,189,0.0,0.1
195,195,0.0,0.1
191,191,0.0,0.1
192,192,0.0,0.15000000000000002
189,181,8.0,0.15000000000000002
192,191,1.0,0.15000000000000002
191,191,0.0,0.15000000000000002
188,188,0.0,0.15000000000000002
190,190,0.0,0.15000000000000002
191,191,0.0,0.15000000000000002
188,188,0.0,0.15000000000000002
194,194,0.0,0.15000000000000002
190,190,0.0,0.15000000000000002
189,189,0.0,0.2
194,143,51.0,0.2
192,157,35.0,0.2
189,189,0.0,0.2
192,191,1.0,0.2
187,184,3.0,0.2
194,194,0.0,0.2
197,191,6.0,0.2
191,187,4.0,0.2
189,189,0.0,0.2
192,183,9.0,0.25
192,125,67.0,0.25
193,153,40.0,0.25
195,181,14.0,0.25
192,146,46.0,0.25
190,185,5.0,0.25
189,189,0.0,0.25
188,186,2.0,0.25
189,6,183.0,0.25
192,185,7.0,0.25
187,139,48.0,0.30000000000000004
194,68,126.0,0.30000000000000004
193,137,56.0,0.30000000000000004
190,42,148.0,0.30000000000000004
195,191,4.0,0.30000000000000004
188,124,64.0,0.30000000000000004
191,191,0.0,0.30000000000000004
189,139,50.0,0.30000000000000004
188,23,165.0,0.30000000000000004
195,69,126.0,0.30000000000000004
196,60,136.0,0.35000000000000003
193,151,42.0,0.35000000000000003
193,130,63.0,0.35000000000000003
194,84,110.0,0.35000000000000003
189,10,179.0,0.35000000000000003
194,39,155.0,0.35000000000000003
194,116,78.0,0.35000000000000003
190,115,75.0,0.35000000000000003
194,45,149.0,0.35000000000000003
192,39,153.0,0.35000000000000003
194,53,141.0,0.4
193,80,113.0,0.4
195,9,186.0,0.4
196,3,193.0,0.4
194,49,145.0,0.4
189,92,97.0,0.4
196,94,102.0,0.4
194,69,125.0,0.4
187,15,172.0,0.4
189,10,179.0,0.4
191,31,160.0,0.45
188,21,167.0,0.45
190,23,167.0,0.45
195,91,104.0,0.45
194,80,114.0,0.45
195,74,121.0,0.45
187,51,136.0,0.45
192,59,133.0,0.45
192,42,150.0,0.45
196,85,111.0,0.45
194,16,178.0,0.5
196,54,142.0,0.5
191,111,80.0,0.5
196,14,182.0,0.5
189,60,129.0,0.5
190,28,162.0,0.5
189,22,167.0,0.5
189,4,185.0,0.5
188,3,185.0,0.5
187,5,182.0,0.5
194,3,191.0,0.55
190,46,144.0,0.55
187,17,170.0,0.55
192,40,152.0,0.55
192,27,165.0,0.55
196,40,156.0,0.55
194,29,165.0,0.55
191,12,179.0,0.55
193,20,173.0,0.55
192,14,178.0,0.55
196,3,193.0,0.6000000000000001
196,2,194.0,0.6000000000000001
195,46,149.0,0.6000000000000001
195,2,193.0,0.6000000000000001
189,2,187.0,0.6000000000000001
190,4,186.0,0.6000000000000001
192,8,184.0,0.6000000000000001
190,117,73.0,0.6000000000000001
191,13,178.0,0.6000000000000001
196,4,192.0,0.6000000000000001
196,2,194.0,0.65
194,3,191.0,0.65
187,3,184.0,0.65
187,3,184.0,0.65
192,3,189.0,0.65
189,3,186.0,0.65
187,25,162.0,0.65
194,2,192.0,0.65
194,2,192.0,0.65
188,10,178.0,0.65
189,3,186.0,0.7000000000000001
194,31,163.0,0.7000000000000001
191,3,188.0,0.7000000000000001
193,24,169.0,0.7000000000000001
192,3,189.0,0.7000000000000001
193,2,191.0,0.7000000000000001
191,17,174.0,0.7000000000000001
195,3,192.0,0.7000000000000001
196,2,194.0,0.7000000000000001
196,3,193.0,0.7000000000000001
187,3,184.0,0.75
187,3,184.0,0.75
188,19,169.0,0.75
189,0,189.0,0.75
190,0,190.0,0.75
187,3,184.0,0.75
193,3,190.0,0.75
188,3,185.0,0.75
191,3,188.0,0.75
191,10,181.0,0.75
195,0,195.0,0.8
189,0,189.0,0.8
188,5,183.0,0.8
193,3,190.0,0.8
191,14,177.0,0.8
189,3,186.0,0.8
189,3,186.0,0.8
193,0,193.0,0.8
195,2,193.0,0.8
196,3,193.0,0.8
192,2,190.0,0.8500000000000001
190,1,189.0,0.8500000000000001
189,7,182.0,0.8500000000000001
187,16,171.0,0.8500000000000001
190,0,190.0,0.8500000000000001
188,3,185.0,0.8500000000000001
192,3,189.0,0.8500000000000001
188,3,185.0,0.8500000000000001
192,3,189.0,0.8500000000000001
194,0,194.0,0.8500000000000001
193,3,190.0,0.9
193,0,193.0,0.9
187,0,187.0,0.9
192,3,189.0,0.9
195,3,192.0,0.9
195,10,185.0,0.9
191,0,191.0,0.9
187,3,184.0,0.9
190,0,190.0,0.9
188,0,188.0,0.9
194,3,191.0,0.9500000000000001
190,3,187.0,0.9500000000000001
187,3,184.0,0.9500000000000001
193,0,193.0,0.9500000000000001
194,0,194.0,0.9500000000000001
194,0,194.0,0.9500000000000001
195,0,195.0,0.9500000000000001
189,0,189.0,0.9500000000000001
191,0,191.0,0.9500000000000001
187,3,184.0,0.9500000000000001
187,0,187.0,1.0
192,192,0.0,0.05
193,193,0.0,0.05
191,191,0.0,0.05
190,190,0.0,0.05
190,190,0.0,0.05
188,188,0.0,0.05
193,192,1.0,0.05
195,195,0.0,0.05
193,193,0.0,0.05
192,190,2.0,0.05
189,189,0.0,0.1
196,196,0.0,0.1
188,187,1.0,0.1
194,194,0.0,0.1
187,184,3.0,0.1
191,191,0.0,0.1
189,189,0.0,0.1
191,191,0.0,0.1
189,189,0.0,0.1
193,193,0.0,0.1
193,193,0.0,0.15000000000000002
193,193,0.0,0.15000000000000002
188,188,0.0,0.15000000000000002
196,196,0.0,0.15000000000000002
192,192,0.0,0.15000000000000002
191,190,1.0,0.15000000000000002
187,186,1.0,0.15000000000000002
188,188,0.0,0.15000000000000002
187,182,5.0,0.15000000000000002
188,187,1.0,0.15000000000000002
192,190,2.0,0.2
188,188,0.0,0.2
187,148,39.0,0.2
194,193,1.0,0.2
191,136,55.0,0.2
189,189,0.0,0.2
190,122,68.0,0.2
192,59,133.0,0.2
190,155,35.0,0.2
187,187,0.0,0.2
193,114,79.0,0.25
194,125,69.0,0.25
196,88,108.0,0.25
191,73,118.0,0.25
192,83,109.0,0.25
187,98,89.0,0.25
189,180,9.0,0.25
194,193,1.0,0.25
187,184,3.0,0.25
193,101,92.0,0.25
187,109,78.0,0.30000000000000004
193,60,133.0,0.30000000000000004
193,60,133.0,0.30000000000000004
190,80,110.0,0.30000000000000004
195,46,149.0,0.30000000000000004
196,103,93.0,0.30000000000000004
193,141,52.0,0.30000000000000004
194,75,119.0,0.30000000000000004
195,54,141.0,0.30000000000000004
195,82,113.0,0.30000000000000004
188,34,154.0,0.35000000000000003
194,82,112.0,0.35000000000000003
191,184,7.0,0.35000000000000003
194,29,165.0,0.35000000000000003
196,47,149.0,0.35000000000000003
194,7,187.0,0.35000000000000003
193,87,106.0,0.35000000000000003
189,99,90.0,0.35000000000000003
191,109,82.0,0.35000000000000003
190,33,157.0,0.35000000000000003
196,134,62.0,0.4
192,29,163.0,0.4
188,16,172.0,0.4
187,61,126.0,0.4
191,8,183.0,0.4
196,59,137.0,0.4
194,80,114.0,0.4
192,34,158.0,0.4
194,5,189.0,0.4
193,18,175.0,0.4
190,5,185.0,0.45
192,37,155.0,0.45
190,39,151.0,0.45
191,40,151.0,0.45
188,44,144.0,0.45
193,11,182.0,0.45
189,20,169.0,0.45
190,33,157.0,0.45
193,21,172.0,0.45
195,67,128.0,0.45
195,7,188.0,0.5
195,3,192.0,0.5
190,40,150.0,0.5
195,36,159.0,0.5
191,75,116.0,0.5
194,48,146.0,0.5
189,47,142.0,0.5
193,66,127.0,0.5
191,7,184.0,0.5
196,3,193.0,0.5
190,5,185.0,0.55
196,25,171.0,0.55
195,11,184.0,0.55
191,22,169.0,0.55
195,11,184.0,0.55
196,3,193.0,0.55
192,2,190.0,0.55
195,95,100.0,0.55
193,62,131.0,0.55
192,21,171.0,0.55
