sent messages,received messages,losses,packet loss
187,187,0.0,0.0
196,196,0.0,0.05
190,190,0.0,0.05
195,195,0.0,0.05
188,188,0.0,0.05
193,193,0.0,0.05
194,194,0.0,0.05
194,194,0.0,0.05
196,196,0.0,0.05
187,187,0.0,0.05
188,188,0.0,0.05
193,191,2.0,0.1
191,190,1.0,0.1
190,190,0.0,0.1
194,194,0.0,0.1
190,190,0.0,0.1
190,188,2.0,0.1
194,194,0.0,0.1
194,194,0.0,0.1
194,189,5.0,0.1
193,193,0.0,0.1
187,186,1.0,0.15000000000000002
193,193,0.0,0.15000000000000002
188,185,3.0,0.15000000000000002
192,189,3.0,0.15000000000000002
196,189,7.0,0.15000000000000002
193,23,170.0,0.15000000000000002
193,193,0.0,0.15000000000000002
194,194,0.0,0.15000000000000002
187,186,1.0,0.15000000000000002
189,188,1.0,0.15000000000000002
186,99,87.0,0.2
195,187,8.0,0.2
190,187,3.0,0.2
195,188,7.0,0.2
194,191,3.0,0.2
189,156,33.0,0.2
192,183,9.0,0.2
187,184,3.0,0.2
188,184,4.0,0.2
187,53,134.0,0.2
189,174,15.0,0.25
195,188,7.0,0.25
193,191,2.0,0.25
187,9,178.0,0.25
193,188,5.0,0.25
188,187,1.0,0.25
190,165,25.0,0.25
187,158,29.0,0.25
188,186,2.0,0.25
194,19,175.0,0.25
192,78,114.0,0.30000000000000004
190,125,65.0,0.30000000000000004
186,128,58.0,0.30000000000000004
192,147,45.0,0.30000000000000004
194,152,42.0,0.30000000000000004
192,57,135.0,0.30000000000000004
191,132,59.0,0.30000000000000004
188,186,2.0,0.30000000000000004
192,110,82.0,0.30000000000000004
192,190,2.0,0.30000000000000004
191,61,130.0,0.35000000000000003
189,93,96.0,0.35000000000000003
187,66,121.0,0.35000000000000003
190,189,1.0,0.35000000000000003
189,188,1.0,0.35000000000000003
192,69,123.0,0.35000000000000003
194,123,71.0,0.35000000000000003
194,84,110.0,0.35000000000000003
188,183,5.0,0.35000000000000003
192,124,68.0,0.35000000000000003
186,124,62.0,0.4
192,57,135.0,0.4
193,7,186.0,0.4
192,29,163.0,0.4
187,1,186.0,0.4
192,127,65.0,0.4
194,72,122.0,0.4
194,139,55.0,0.4
191,86,105.0,0.4
193,18,175.0,0.4
191,7,184.0,0.45
194,108,86.0,0.45
186,175,11.0,0.45
194,71,123.0,0.45
190,119,71.0,0.45
195,3,192.0,0.45
186,69,117.0,0.45
191,80,111.0,0.45
191,145,46.0,0.45
192,97,95.0,0.45
192,34,158.0,0.5
193,22,171.0,0.5
188,175,13.0,0.5
190,83,107.0,0.5
195,18,177.0,0.5
187,175,12.0,0.5
195,36,159.0,0.5
194,0,194.0,0.5
191,12,179.0,0.5
192,29,163.0,0.5
188,3,185.0,0.55
192,25,167.0,0.55
193,36,157.0,0.55
191,3,188.0,0.55
187,20,167.0,0.55
194,100,94.0,0.55
195,55,140.0,0.55
192,28,164.0,0.55
195,56,139.0,0.55
190,7,183.0,0.55
188,3,185.0,0.6000000000000001
188,17,171.0,0.6000000000000001
196,3,193.0,0.6000000000000001
191,3,188.0,0.6000000000000001
191,38,153.0,0.6000000000000001
196,43,153.0,0.6000000000000001
188,76,112.0,0.6000000000000001
194,35,159.0,0.6000000000000001
194,3,191.0,0.6000000000000001
188,56,132.0,0.6000000000000001
187,3,184.0,0.65
189,4,185.0,0.65
187,3,184.0,0.65
192,3,189.0,0.65
193,20,173.0,0.65
192,3,189.0,0.65
193,3,190.0,0.65
188,16,172.0,0.65
193,3,190.0,0.65
187,3,184.0,0.65
187,3,184.0,0.7000000000000001
195,3,192.0,0.7000000000000001
187,11,176.0,0.7000000000000001
190,16,174.0,0.7000000000000001
186,6,180.0,0.7000000000000001
187,3,184.0,0.7000000000000001
196,16,180.0,0.7000000000000001
187,24,163.0,0.7000000000000001
191,3,188.0,0.7000000000000001
194,34,160.0,0.7000000000000001
188,3,185.0,0.75
190,34,156.0,0.75
192,3,189.0,0.75
192,36,156.0,0.75
187,20,167.0,0.75
192,3,189.0,0.75
188,3,185.0,0.75
187,3,184.0,0.75
196,0,196.0,0.75
190,24,166.0,0.75
192,3,189.0,0.8
189,11,178.0,0.8
190,3,187.0,0.8
189,3,186.0,0.8
194,3,191.0,0.8
189,0,189.0,0.8
193,3,190.0,0.8
191,16,175.0,0.8
196,7,189.0,0.8
189,3,186.0,0.8
191,3,188.0,0.8500000000000001
188,3,185.0,0.8500000000000001
194,11,183.0,0.8500000000000001
194,0,194.0,0.8500000000000001
189,3,186.0,0.8500000000000001
188,0,188.0,0.8500000000000001
187,0,187.0,0.8500000000000001
192,0,192.0,0.8500000000000001
196,3,193.0,0.8500000000000001
191,1,190.0,0.8500000000000001
189,0,189.0,0.9
195,0,195.0,0.9
195,3,192.0,0.9
190,3,187.0,0.9
191,0,191.0,0.9
191,0,191.0,0.9
187,1,186.0,0.9
189,0,189.0,0.9
190,1,189.0,0.9
192,3,189.0,0.9
189,1,188.0,0.9500000000000001
193,3,190.0,0.9500000000000001
187,0,187.0,0.9500000000000001
188,3,185.0,0.9500000000000001
192,3,189.0,0.9500000000000001
191,0,191.0,0.9500000000000001
195,0,195.0,0.9500000000000001
195,0,195.0,0.9500000000000001
188,3,185.0,0.9500000000000001
186,0,186.0,0.9500000000000001
192,0,192.0,1.0
195,195,0.0,0.05
192,192,0.0,0.05
186,186,0.0,0.05
188,188,0.0,0.05
192,192,0.0,0.05
190,187,3.0,0.05
187,187,0.0,0.05
192,192,0.0,0.05
188,188,0.0,0.05
191,191,0.0,0.05
190,187,3.0,0.1
192,192,0.0,0.1
193,178,15.0,0.1
192,189,3.0,0.1
195,156,39.0,0.1
187,181,6.0,0.1
189,189,0.0,0.1
190,189,1.0,0.1
195,195,0.0,0.1
192,192,0.0,0.1
188,185,3.0,0.15000000000000002
194,194,0.0,0.15000000000000002
193,190,3.0,0.15000000000000002
188,188,0.0,0.15000000000000002
187,182,5.0,0.15000000000000002
188,188,0.0,0.15000000000000002
193,186,7.0,0.15000000000000002
187,187,0.0,0.15000000000000002
187,187,0.0,0.15000000000000002
187,187,0.0,0.15000000000000002
186,34,152.0,0.2
190,187,3.0,0.2
194,129,65.0,0.2
196,192,4.0,0.2
187,166,21.0,0.2
195,78,117.0,0.2
187,180,7.0,0.2
188,180,8.0,0.2
192,88,104.0,0.2
189,185,4.0,0.2
193,191,2.0,0.25
188,72,116.0,0.25
195,136,59.0,0.25
194,168,26.0,0.25
195,168,27.0,0.25
194,153,41.0,0.25
191,184,7.0,0.25
196,171,25.0,0.25
194,186,8.0,0.25
187,177,10.0,0.25
187,55,132.0,0.30000000000000004
187,53,134.0,0.30000000000000004
187,22,165.0,0.30000000000000004
192,183,9.0,0.30000000000000004
190,188,2.0,0.30000000000000004
196,13,183.0,0.30000000000000004
196,166,30.0,0.30000000000000004
188,132,56.0,0.30000000000000004
192,185,7.0,0.30000000000000004
188,185,3.0,0.30000000000000004
190,37,153.0,0.35000000000000003
190,57,133.0,0.35000000000000003
192,150,42.0,0.35000000000000003
194,43,151.0,0.35000000000000003
187,158,29.0,0.35000000000000003
196,60,136.0,0.35000000000000003
194,19,175.0,0.35000000000000003
192,61,131.0,0.35000000000000003
