,type,uuid,timestamp,message,runtime
0,s,b4423fe4-1515-11eb-bd4b-0242ac130002,1.6034468527669706e+18,Temperatur/Schlafzimmer,1.041209856
1,s,b4523854-1515-11eb-a24b-0242ac130004,1.6034468528716436e+18,Heizung/Schlafzimmer,1.14588288
2,s,b4587980-1515-11eb-bd4b-0242ac130002,1.603446852912628e+18,Temperatur/Küche,1.1868672
3,s,b4686c82-1515-11eb-a24b-0242ac130004,1.6034468530171694e+18,Heizung/Küche,1.29140864
4,s,b4c64898-1515-11eb-bd4b-0242ac130002,1.6034468536322483e+18,Temperatur/Schlafzimmer,1.906487552
5,s,b4c9c02c-1515-11eb-bd4b-0242ac130002,1.6034468536549704e+18,Temperatur/Schlafzimmer,1.9292096
6,s,b4d6130e-1515-11eb-a24b-0242ac130004,1.6034468537357696e+18,Heizung/Schlafzimmer,2.010008832
7,s,b4d71f4c-1515-11eb-bd4b-0242ac130002,1.6034468537426058e+18,Temperatur/Flur,2.016845056
8,s,b4d96554-1515-11eb-a24b-0242ac130004,1.6034468537575124e+18,Heizung/Schlafzimmer,2.03175168
9,s,b4e714ce-1515-11eb-a24b-0242ac130004,1.6034468538472253e+18,Heizung/Flur,2.121464576
10,s,b4f1501a-1515-11eb-bd4b-0242ac130002,1.603446853914266e+18,Temperatur/Küche,2.188505344
11,s,b4fca4d8-1515-11eb-bd4b-0242ac130002,1.6034468539885135e+18,Temperatur/Schlafzimmer,2.262752768
12,s,b5013ae8-1515-11eb-a24b-0242ac130004,1.6034468540185871e+18,Heizung/Küche,2.292826368
13,s,b50c4898-1515-11eb-bd4b-0242ac130002,1.6034468540910167e+18,Temperatur/Schlafzimmer,2.365255936
13,s,b50c773c-1515-11eb-a24b-0242ac130004,1.6034468540922227e+18,Heizung/Schlafzimmer,2.366461952
15,s,b51c3906-1515-11eb-a24b-0242ac130004,1.6034468541954885e+18,Heizung/Schlafzimmer,2.469727744
